data_size,run,threads,implementation,schedule,time_seconds,checksum
10000,1,1,sequential,none,0.000060869,443273.3349999999
10000,1,1,simd,none,0.000006654,443273.3349999999
10000,2,1,sequential,none,0.000005581,443273.3349999999
10000,2,1,simd,none,0.000007643,443273.3349999999
10000,3,1,sequential,none,0.000005928,443273.3349999999
10000,3,1,simd,none,0.000005941,443273.3349999999
10000,4,1,sequential,none,0.000005925,443273.3349999999
10000,4,1,simd,none,0.000005850,443273.3349999999
10000,5,1,sequential,none,0.000007598,443273.3349999999
10000,5,1,simd,none,0.000012042,443273.3349999999
10000,6,1,sequential,none,0.000005282,443273.3349999999
10000,6,1,simd,none,0.000005140,443273.3349999999
10000,7,1,sequential,none,0.000005196,443273.3349999999
10000,7,1,simd,none,0.000005102,443273.3349999999
10000,1,1,parallel,static,0.000029209,443273.3349999999
10000,1,1,parallel,dynamic,0.000280689,443273.3349999999
10000,1,1,parallel,guided,0.000011027,443273.3349999999
10000,2,1,parallel,static,0.000008103,443273.3349999999
10000,2,1,parallel,dynamic,0.000219119,443273.3349999999
10000,2,1,parallel,guided,0.000008440,443273.3349999999
10000,3,1,parallel,static,0.000007967,443273.3349999999
10000,3,1,parallel,dynamic,0.000275356,443273.3349999999
10000,3,1,parallel,guided,0.000006140,443273.3349999999
10000,4,1,parallel,static,0.000005952,443273.3349999999
10000,4,1,parallel,dynamic,0.000211966,443273.3349999999
10000,4,1,parallel,guided,0.000005739,443273.3349999999
10000,5,1,parallel,static,0.000005674,443273.3349999999
10000,5,1,parallel,dynamic,0.000217424,443273.3349999999
10000,5,1,parallel,guided,0.000006303,443273.3349999999
10000,6,1,parallel,static,0.000005845,443273.3349999999
10000,6,1,parallel,dynamic,0.000211531,443273.3349999999
10000,6,1,parallel,guided,0.000005777,443273.3349999999
10000,7,1,parallel,static,0.000005633,443273.3349999999
10000,7,1,parallel,dynamic,0.000211595,443273.3349999999
10000,7,1,parallel,guided,0.000005756,443273.3349999999
10000,1,2,parallel,static,0.000451314,443273.3349999999
10000,1,2,parallel,dynamic,0.000901383,443273.3349999999
10000,1,2,parallel,guided,0.000009765,443273.3349999999
10000,2,2,parallel,static,0.000007003,443273.3349999999
