data_size,operation_complexity,memory_footprint,available_cores,simd_significant
5000,4,80000,8,0
7500,4,120000,8,0
10000,4,160000,8,0
12500,4,200000,8,0
15000,4,240000,8,0
17500,4,280000,8,0
20000,4,320000,8,0
22500,4,360000,8,0
25000,4,400000,8,0
27500,4,440000,8,0
30000,4,480000,8,0
32500,4,520000,8,0
35000,4,560000,8,0
37500,4,600000,8,0
40000,4,640000,8,0
42500,4,680000,8,0
45000,4,720000,8,0
47500,4,760000,8,0
50000,4,800000,8,0
55000,4,880000,8,0
60000,4,960000,8,0
65000,4,1040000,8,0
70000,4,1120000,8,0
75000,4,1200000,8,0
80000,4,1280000,8,0
85000,4,1360000,8,0
90000,4,1440000,8,0
95000,4,1520000,8,0
100000,4,1600000,8,0
125000,4,2000000,8,0
150000,4,2400000,8,1
175000,4,2800000,8,1
200000,4,3200000,8,1
225000,4,3600000,8,1
250000,4,4000000,8,1
275000,4,4400000,8,1
300000,4,4800000,8,1
350000,4,5600000,8,1
400000,4,6400000,8,1
450000,4,7200000,8,1
500000,4,8000000,8,1
600000,4,9600000,8,1
700000,4,11200000,8,1
800000,4,12800000,8,1
900000,4,14400000,8,1
1000000,4,16000000,8,1
1250000,4,20000000,8,1
1500000,4,24000000,8,1
1750000,4,28000000,8,1
2000000,4,32000000,8,1
2500000,4,40000000,8,1
3000000,4,48000000,8,1
4000000,4,64000000,8,1
5000000,4,80000000,8,1
7500000,4,120000000,8,1
10000000,4,160000000,8,1
15000000,4,240000000,8,1
20000000,4,320000000,8,1
30000000,4,480000000,8,1
50000000,4,800000000,8,1
